t,cycle,arm,scenario,seed,route,action,wp_index,dist_to_wp_m,degraded,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,yaw_deg,pitch_deg,roll_deg,has_collided,collision_object,min_obstacle_dist_m,latency_ms_json,slm_invoked,slm_latency_ms,slm_fallback,slm_timeout,slm_adherent,slm_prompt,slm_raw_response,slm_delib_id,slm_frame_paths,field_izquierda_occ,field_izquierda_ttc_s,field_izquierda_conf,field_izquierda_blocked,field_centro_occ,field_centro_ttc_s,field_centro_conf,field_centro_blocked,field_derecha_occ,field_derecha_ttc_s,field_derecha_conf,field_derecha_blocked
0.074,1,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,30.33341759443283,False,0.0,0.0,0.33363503217697144,0.0,0.0,0.0030210355762392282,-60.0,-0.0,0.0,False,,,"{""telemetry"": 0.5, ""graph"": 73.3}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
0.3,2,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,30.335965543985367,False,0.0003230744041502476,-0.0005595811526291072,0.33586373925209045,0.019564520567655563,-0.03388673812150955,-0.1483057141304016,-60.0,-6.35,-0.0,False,,,"{""telemetry"": 0.6, ""graph"": 98.1}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
0.502,3,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,30.26941984280835,False,0.033458784222602844,-0.05795225128531456,0.18162521719932556,0.3367782235145569,-0.5833161473274231,-1.3061131238937378,-60.0,-14.3,0.0,False,,,"{""telemetry"": 0.8, ""graph"": 99.5}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
0.793,4,slm,TOWNSIM_INI,1,deliberative,FRENAR,0,30.01218637202713,False,0.13947443664073944,-0.24157650768756866,-0.1192115768790245,0.6148057579994202,-1.064873456954956,-1.3272885084152222,-60.0,-13.75,0.0,False,,,"{""telemetry"": 0.7, ""graph"": 191.3}",False,,,,,,,,,0.066,0.85,0.362,True,0.065,0.26,0.362,True,0.049,0.96,0.362,True
0.891,5,slm,TOWNSIM_INI,1,deliberative,MANTENER_RUMBO,0,29.75288660628836,False,0.256914883852005,-0.4449893832206726,-0.32568129897117615,0.7597954869270325,-1.316003680229187,-0.9967392086982727,-60.0,-5.96,0.0,False,,,"{""telemetry"": 0.8, ""graph"": 88.4}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
1.095,6,slm,TOWNSIM_INI,1,deliberative,MANTENER_RUMBO,0,29.594651772836354,False,0.4098895192146301,-0.7098948359489441,-0.44190001487731934,0.7304191589355469,-1.263515591621399,-0.5816372632980347,-60.0,4.67,0.03,False,,,"{""telemetry"": 0.7, ""graph"": 92.0}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
1.36,7,slm,TOWNSIM_INI,1,deliberative,MANTENER_RUMBO,0,29.479760126883527,False,0.5593451857566833,-0.9681674242019653,-0.6131670475006104,0.620158851146698,-1.0710519552230835,-0.820953905582428,-60.0,5.25,0.0,False,,,"{""telemetry"": 0.8, ""graph"": 157.3}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
1.558,8,slm,TOWNSIM_INI,1,deliberative,MANTENER_RUMBO,0,29.324852227767998,False,0.6735963821411133,-1.1654576063156128,-0.7748358845710754,0.5361692905426025,-0.9258156418800354,-0.8097130656242371,-60.0,4.48,-0.01,False,,,"{""telemetry"": 0.7, ""graph"": 154.8}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
1.756,9,slm,TOWNSIM_INI,1,deliberative,MANTENER_RUMBO,0,29.174556365419022,False,0.764227032661438,-1.3219614028930664,-0.9194586277008057,0.47300565242767334,-0.8168821334838867,-0.7978329658508301,-60.14,3.63,-0.02,False,,,"{""telemetry"": 0.7, ""graph"": 152.4}",False,,,,,,,,,0.0,,0.046,False,0.0,,0.046,False,0.0,,0.046,False
1.913,10,slm,TOWNSIM_INI,1,deliberative,MANTENER_RUMBO,0,29.024600666049874,False,0.8596856594085693,-1.4868587255477905,-1.090774655342102,0.4135354161262512,-0.7148343324661255,-0.7894337773323059,-62.54,2.72,-0.16,False,,,"{""telemetry"": 0.6, ""graph"": 108.7}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
