t,cycle,arm,scenario,seed,route,action,wp_index,dist_to_wp_m,degraded,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,yaw_deg,has_collided,collision_object,min_obstacle_dist_m,latency_ms_json,slm_invoked,slm_latency_ms,slm_fallback,slm_timeout,slm_adherent,slm_prompt,slm_raw_response,slm_delib_id,slm_frame_paths,field_izquierda_occ,field_izquierda_ttc_s,field_izquierda_conf,field_izquierda_blocked,field_centro_occ,field_centro_ttc_s,field_centro_conf,field_centro_blocked,field_derecha_occ,field_derecha_ttc_s,field_derecha_conf,field_derecha_blocked
0.073,1,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,30.352213948965073,False,0.0,0.0,0.3524223268032074,,,,-60.0,False,,,"{""telemetry"": 0.7, ""graph"": 71.1}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
0.383,2,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,30.35476177930832,False,0.00021308551367837936,-0.0003688253927975893,0.3524729907512665,,,,-59.91,False,,,"{""telemetry"": 0.9, ""graph"": 181.4}",False,,,,,,,,,0.0,56.58,1.0,False,0.0,21.97,1.0,False,0.001,24.9,1.0,False
0.584,3,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,30.2862720343163,False,0.019440433010458946,-0.03362371772527695,0.19415029883384705,,,,-58.33,False,,,"{""telemetry"": 0.9, ""graph"": 181.7}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
0.701,4,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,30.103132757991077,False,0.0571594163775444,-0.09885184466838837,0.03224721550941467,,,,-56.22,False,,,"{""telemetry"": 1.1, ""graph"": 98.4}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
0.909,5,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,29.934714232700355,False,0.11793572455644608,-0.2031855285167694,-0.11697394400835037,,,,-52.48,False,,,"{""telemetry"": 1.1, ""graph"": 106.5}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
1.114,6,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,29.805560740023427,False,0.1804787665605545,-0.30871856212615967,-0.2522530257701874,,,,-47.44,False,,,"{""telemetry"": 0.8, ""graph"": 111.3}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
1.296,7,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,29.672449312462128,False,0.2322920262813568,-0.39428040385246277,-0.37466198205947876,,,,-42.0,False,,,"{""telemetry"": 1.1, ""graph"": 92.6}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
1.514,8,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,29.53965797129716,False,0.28454527258872986,-0.47838708758354187,-0.5316213965415955,,,,-34.45,False,,,"{""telemetry"": 0.8, ""graph"": 110.5}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
1.707,9,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,29.395717640909393,False,0.3237561583518982,-0.5396934151649475,-0.6445399522781372,,,,-27.39,False,,,"{""telemetry"": 0.8, ""graph"": 103.0}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
1.898,10,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,29.366536916887572,False,0.3580816686153412,-0.5923628211021423,-0.6281885504722595,,,,-19.98,False,,,"{""telemetry"": 0.8, ""graph"": 94.1}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
