t,cycle,arm,scenario,seed,route,action,wp_index,dist_to_wp_m,degraded,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,yaw_deg,pitch_deg,roll_deg,has_collided,collision_object,min_obstacle_dist_m,latency_ms_json,slm_invoked,slm_latency_ms,slm_fallback,slm_timeout,slm_adherent,slm_prompt,slm_raw_response,slm_delib_id,slm_frame_paths,field_izquierda_occ,field_izquierda_ttc_s,field_izquierda_conf,field_izquierda_blocked,field_centro_occ,field_centro_ttc_s,field_centro_conf,field_centro_blocked,field_derecha_occ,field_derecha_ttc_s,field_derecha_conf,field_derecha_blocked
0.086,1,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,30.33925098180771,False,0.0,0.0,0.3394774794578552,0.0,0.0,0.0030181121546775103,-60.0,-0.0,0.0,False,,,"{""telemetry"": 0.7, ""graph"": 79.0}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
0.334,2,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,30.34161952137947,False,0.0011898403754457831,-0.002060863422229886,0.3352775573730469,0.04625268653035164,-0.08011197298765182,-0.3118683397769928,-60.0,-8.24,-0.0,False,,,"{""telemetry"": 1.1, ""graph"": 126.4}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
0.505,3,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,30.27482595281996,False,0.03245504945516586,-0.056213732808828354,0.19086049497127533,0.3318290114402771,-0.5747442245483398,-1.297615647315979,-60.0,-14.27,0.0,False,,,"{""telemetry"": 0.9, ""graph"": 96.2}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
0.797,4,slm,TOWNSIM_INI,1,deliberative,MANTENER_RUMBO,0,30.021674763895426,False,0.12855969369411469,-0.2226717323064804,-0.08984780311584473,0.5947739481925964,-1.030178189277649,-1.3420621156692505,-60.0,-13.93,0.0,False,,,"{""telemetry"": 0.8, ""graph"": 188.5}",False,,,,,,,,,0.066,0.86,0.329,False,0.065,0.26,0.329,False,0.05,0.94,0.329,False
0.936,5,slm,TOWNSIM_INI,1,deliberative,MANTENER_RUMBO,0,29.758241031695505,False,0.2843117415904999,-0.4924418330192566,-0.35223937034606934,0.768791139125824,-1.3315842151641846,-0.8394300937652588,-60.0,-4.07,0.0,False,,,"{""telemetry"": 0.8, ""graph"": 126.6}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
1.139,6,slm,TOWNSIM_INI,1,deliberative,MANTENER_RUMBO,0,29.579838309264307,False,0.4256966710090637,-0.7373273968696594,-0.5009714365005493,0.7568327784538269,-1.3108716011047363,-0.8541365265846252,-60.0,3.69,0.0,False,,,"{""telemetry"": 0.8, ""graph"": 128.8}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
1.4,7,slm,TOWNSIM_INI,1,deliberative,MANTENER_RUMBO,0,29.43191171176781,False,0.5654883980751038,-0.9794532060623169,-0.6733760237693787,0.6726700663566589,-1.1650960445404053,-0.8966303467750549,-60.0,5.45,0.0,False,,,"{""telemetry"": 0.9, ""graph"": 189.8}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
1.612,8,slm,TOWNSIM_INI,1,deliberative,MANTENER_RUMBO,0,29.26521873039779,False,0.6912745237350464,-1.197320580482483,-0.8520442843437195,0.5803693532943726,-1.005226492881775,-0.8769593834877014,-60.0,5.03,0.0,False,,,"{""telemetry"": 0.8, ""graph"": 201.5}",False,,,,,,,,,0.0,,0.011,False,0.0,,0.011,False,0.0,,0.011,False
1.81,9,slm,TOWNSIM_INI,1,deliberative,MANTENER_RUMBO,0,29.092913741863406,False,0.7997344732284546,-1.385177731513977,-1.0255259275436401,0.5015382170677185,-0.8686888217926025,-0.8499267101287842,-60.25,4.09,-0.02,False,,,"{""telemetry"": 0.7, ""graph"": 188.2}",False,,,,,,,,,0.0,,0.02,False,0.0,,0.02,False,0.0,,0.02,False
1.92,10,slm,TOWNSIM_INI,1,deliberative,MANTENER_RUMBO,0,28.933549718727136,False,0.887382984161377,-1.5369973182678223,-1.1817622184753418,0.4430786073207855,-0.7677493691444397,-0.8311718106269836,-62.39,3.22,-0.16,False,,,"{""telemetry"": 0.7, ""graph"": 98.5}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
