t,cycle,arm,scenario,seed,route,action,wp_index,dist_to_wp_m,degraded,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,yaw_deg,pitch_deg,roll_deg,has_collided,collision_object,min_obstacle_dist_m,latency_ms_json,slm_invoked,slm_latency_ms,slm_fallback,slm_timeout,slm_adherent,slm_prompt,slm_raw_response,slm_delib_id,slm_frame_paths,field_izquierda_occ,field_izquierda_ttc_s,field_izquierda_conf,field_izquierda_blocked,field_centro_occ,field_centro_ttc_s,field_centro_conf,field_centro_blocked,field_derecha_occ,field_derecha_ttc_s,field_derecha_conf,field_derecha_blocked
0.089,1,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,30.332908123731613,False,0.0,0.0,0.3331436812877655,0.0,0.0,0.0030208120588213205,-60.0,-0.0,0.0,False,,,"{""telemetry"": 1.3, ""graph"": 82.5}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
0.31,2,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,30.33602350950241,False,0.000323080166708678,-0.0005595910479314625,0.3361600339412689,0.01956447772681713,-0.03388665243983269,-0.14529287815093994,-60.0,-6.35,0.0,False,,,"{""telemetry"": 1.2, ""graph"": 103.9}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
0.507,3,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,30.272772316035148,False,0.03346095234155655,-0.05795597285032272,0.1824914813041687,0.3369653820991516,-0.5836402177810669,-1.304966926574707,-60.0,-14.3,0.0,False,,,"{""telemetry"": 0.8, ""graph"": 101.0}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
0.804,4,slm,TOWNSIM_INI,1,deliberative,MANTENER_RUMBO,0,30.01722957804249,False,0.13405412435531616,-0.23218822479248047,-0.10638899356126785,0.6052209138870239,-1.0482726097106934,-1.3352527618408203,-60.0,-13.83,0.0,False,,,"{""telemetry"": 0.9, ""graph"": 197.7}",False,,,,,,,,,0.066,0.91,0.285,False,0.065,0.29,0.285,False,0.047,0.91,0.285,False
0.939,5,slm,TOWNSIM_INI,1,deliberative,MANTENER_RUMBO,0,29.746403937048377,False,0.28695815801620483,-0.4970255196094513,-0.3603138029575348,0.7719948291778564,-1.337133526802063,-0.8386203050613403,-60.0,-4.02,0.0,False,,,"{""telemetry"": 1.7, ""graph"": 121.2}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
1.122,6,slm,TOWNSIM_INI,1,deliberative,MANTENER_RUMBO,0,29.569573954159992,False,0.424310564994812,-0.734927237033844,-0.5040837526321411,0.7613809704780579,-1.3187494277954102,-0.852579653263092,-60.0,3.61,0.0,False,,,"{""telemetry"": 2.0, ""graph"": 103.5}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
1.396,7,slm,TOWNSIM_INI,1,deliberative,MANTENER_RUMBO,0,29.408601041738226,False,0.5690966844558716,-0.9857037663459778,-0.6819292902946472,0.6745893955230713,-1.1684225797653198,-0.8981349468231201,-60.0,5.48,0.0,False,,,"{""telemetry"": 1.2, ""graph"": 177.7}",False,,,,,,,,,0.0,,0.018,False,0.0,,0.018,False,0.0,,0.018,False
1.589,8,slm,TOWNSIM_INI,1,deliberative,MANTENER_RUMBO,0,29.24183205308422,False,0.702168881893158,-1.2161915302276611,-0.8713845610618591,0.5766316056251526,-0.9987542033195496,-0.876337468624115,-60.27,5.01,-0.02,False,,,"{""telemetry"": 0.8, ""graph"": 170.9}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
1.744,9,slm,TOWNSIM_INI,1,deliberative,MANTENER_RUMBO,0,29.079597236893044,False,0.8114230036735535,-1.4054405689239502,-1.0472685098648071,0.49715501070022583,-0.8616068959236145,-0.8488813638687134,-62.78,4.03,-0.23,False,,,"{""telemetry"": 0.8, ""graph"": 125.3}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
1.92,10,slm,TOWNSIM_INI,1,deliberative,MANTENER_RUMBO,0,28.92152383812654,False,0.8944743275642395,-1.5495661497116089,-1.183802843093872,0.43930870294570923,-0.7638328671455383,-0.7211641669273376,-66.57,3.96,-0.54,False,,,"{""telemetry"": 0.8, ""graph"": 101.4}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
2.125,11,slm,TOWNSIM_INI,1,deliberative,MANTENER_RUMBO,0,28.79372618977006,False,0.9772121906280518,-1.694122552871704,-1.3177353143692017,0.3669283986091614,-0.6448348164558411,-0.6898502707481384,-71.84,3.99,-0.94,False,,,"{""telemetry"": 0.8, ""graph"": 105.7}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
2.317,12,slm,TOWNSIM_INI,1,deliberative,MANTENER_RUMBO,0,28.669922799683423,False,1.0410699844360352,-1.8072340488433838,-1.4503912925720215,0.29873302578926086,-0.5338832139968872,-0.6956660747528076,-77.6,3.61,-1.25,False,,,"{""telemetry"": 1.2, ""graph"": 96.7}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
2.518,13,slm,TOWNSIM_INI,1,deliberative,MANTENER_RUMBO,0,28.541088685404958,False,1.0942294597625732,-1.903333067893982,-1.599045753479004,0.23323382437229156,-0.42747053503990173,-0.7530431747436523,-84.66,2.82,-1.4,False,,,"{""telemetry"": 1.1, ""graph"": 97.1}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
2.72,14,slm,TOWNSIM_INI,1,deliberative,MANTENER_RUMBO,0,28.39995655184083,False,1.1358706951141357,-1.9806301593780518,-1.7209372520446777,0.1946985125541687,-0.36455753445625305,-0.23724199831485748,-92.0,2.46,-1.54,False,,,"{""telemetry"": 1.0, ""graph"": 99.2}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
2.93,15,slm,TOWNSIM_INI,1,deliberative,MANTENER_RUMBO,0,28.376446291220766,False,1.1731221675872803,-2.0507888793945312,-1.704971194267273,0.1556093990802765,-0.29583030939102173,0.16667702794075012,-100.1,1.94,-1.64,False,,,"{""telemetry"": 1.2, ""graph"": 108.5}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
3.116,16,slm,TOWNSIM_INI,1,deliberative,MANTENER_RUMBO,0,28.41353474589478,False,1.1985976696014404,-2.1002109050750732,-1.6788547039031982,0.11424749344587326,-0.2295648604631424,0.107750803232193,-108.02,1.29,-1.7,False,,,"{""telemetry"": 1.9, ""graph"": 94.1}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
3.363,17,slm,TOWNSIM_INI,1,deliberative,MANTENER_RUMBO,0,28.43772933574167,False,1.2171732187271118,-2.140601634979248,-1.6626225709915161,0.07024087011814117,-0.17474626004695892,0.057258304208517075,-116.74,0.64,-1.77,False,,,"{""telemetry"": 1.3, ""graph"": 98.2}",True,2334.6,False,False,True,"SECTORES VISUALES:
- IZQUIERDA: DESPEJADO
- CENTRO: DESPEJADO
- DERECHA: DESPEJADO

OBJETIVO Y ALTITUD:
- Meta (WP_0_ASCENSO): 30.0m hacia Frente (+0°)
- Altitud actual: 0.1m (Cota segura: 10.0m)
- Velocidad horizontal: 1.21 m/s. Inclinacion: pitch=-13.8°, roll=+0.0°.
- Motivo de consulta: bloqueo lateral o corredor cerrado, sin peligro central inmediato.

INSTRUCCION:
Elige la macro_action ('EVADIR_IZQUIERDA', 'EVADIR_DERECHA', 'GANAR_ALTURA' o 'MANTENER_RUMBO').
Responde SOLO con este JSON:
{""macro_action"": ""<ACCION>"", ""rationale"": ""<motivo corto>""}","{""macro_action"": ""MANTENER_RUMBO"", ""rationale"": ""Sector central despejado, no bloqueado por TTC menor a 2.0 segundos.""}",1,photo-20260903T165449.284Z.png,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
3.519,18,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,28.451589335914157,False,1.226461410522461,-2.1704208850860596,-1.654768466949463,0.024366121739149094,-0.13229918479919434,0.025730794295668602,-125.33,0.13,-1.83,False,,,"{""telemetry"": 1.4, ""graph"": 96.0}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
3.717,19,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,28.458855385303792,False,1.226728081703186,-2.193186044692993,-1.6478033065795898,-0.01646094024181366,-0.09614861756563187,0.056919243186712265,-133.53,0.2,-1.08,False,,,"{""telemetry"": 0.9, ""graph"": 94.7}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
3.919,20,slm,TOWNSIM_INI,1,reactive,MANTENER_RUMBO,0,28.47079104585636,False,1.2220674753189087,-2.209496021270752,-1.6373597383499146,-0.02730949968099594,-0.0700659230351448,0.049799975007772446,-140.54,0.35,-0.54,False,,,"{""telemetry"": 1.2, ""graph"": 95.8}",False,,,,,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
